id,lastVisitTime,title,typedCount,url,visitCount,category
2723,2017-04-12T02:04:43.022Z,https://en.wikipedia.org/wiki/Chocolate,0,https://en.wikipedia.org/wiki/Chocolate,3,5
154,2017-04-11T19:33:07.516Z,sreeram-0xb5e (Sreeram Ganesan),9,https://github.com/sreeram-0xb5e,25,3
2874,2017-04-11T19:31:51.264Z,Google,0,https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=android+music+player+github+github,7,7
2879,2017-04-11T19:31:41.982Z,harjot-oberai/MusicDNA: A Music Player for android that renders beautiful DNA(Visualization) of the currently playing music.,0,https://github.com/harjot-oberai/MusicDNA,1,3
2878,2017-04-11T19:30:40.057Z,kabouzeid/Phonograph: A material designed music player for Android,0,https://github.com/kabouzeid/Phonograph,1,3
2877,2017-04-11T19:30:20.065Z,ryanhoo/StylishMusicPlayer: A stylish music player for android device 16+,0,https://github.com/ryanhoo/StylishMusicPlayer,1,3
2876,2017-04-11T19:30:08.703Z,platform_development/samples/RandomMusicPlayer/src/com/example/android/musicplayer at master · android/platform_development,0,https://github.com/android/platform_development/tree/master/samples/RandomMusicPlayer/src/com/example/android/musicplayer,1,3
2872,2017-04-11T19:30:04.091Z,naman14/Timber: Material Design Music Player,0,https://github.com/naman14/Timber,2,3
2875,2017-04-11T19:29:25.592Z,"googlesamples/android-UniversalMusicPlayer: This sample shows how to implement an audio media app that works across multiple form factors and provide a consistent user experience on Android phones, tablets, Auto, Wear and Cast devices",0,https://github.com/googlesamples/android-UniversalMusicPlayer,1,3
2871,2017-04-11T19:27:43.192Z,Google,0,https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=android+music+player+github,3,7
2868,2017-04-11T19:24:58.944Z,What are some good ideas/examples for machine learning based mobile applications (Android/iOS)? - Quora,0,https://www.quora.com/What-are-some-good-ideas-examples-for-machine-learning-based-mobile-applications-Android-iOS,2,3
2873,2017-04-11T19:08:02.450Z,SueSmith/android-music-player: Source code from Tuts+ tutorial - Android SDK: Create a Music Player,0,https://github.com/SueSmith/android-music-player,1,3
13,2017-04-11T19:06:04.203Z,Google,0,https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8,274,7
2870,2017-04-11T19:05:57.948Z,Create a Music Player on Android: Project Setup,0,https://code.tutsplus.com/tutorials/create-a-music-player-on-android-project-setup--mobile-22764,1,3
,,,0,https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=how+to+build+a+music+player+in+android,1,7
